Sponsor Name,Sponsor Number,Claim Date,Claim Status,SSO Lunch Rate,SSO Brk Rate,Free Eligible Students,Rdc Eligible Students,Paid Eligible Students,Total Eligible Students,Total Milk Enrollment,Lunch Operating Days,ADP Lunch,Lunch Sites,Breakfast Operating Days,ADP SNB,SNB Sites,ADP Regular Brk,Regular Brk Sites,Snack Operating Days,ADP Low Snack,Low Snack Sites,ADP High Snack,High Snack Sites,SSO Operating Days,SSO Operating Sites,ADP SSO Lunch,ADP SSO SNB,ADP SSO Brk,ADP SSO Snk,Milk Operating Days,ADP Milk,Milk Sites,Free Lunches,Rdc Lunches,Paid Lunches,Total Lunches (No SSO),Free SNB,Rdc SNB,Paid SNB,Total SNB (No SSO),Free Regular Brk,Rdc Regular Brk,Paid Regular Brk,Total Regular Brk (No SSO),Free Snack,Rdc Snack,Paid Snack,Total Snacks (No SSO),SSO Lunches,SSO SNB,SSO Reg Brk,SSO Snack,Free Special Milk,Paid Special Milk,Free Lunch Amt,Rdc Lunch Amt,Paid Lunch Amt,SSO Lunch Amt,Free (Brk+SNB) Amt,Rdc (Brk+SNB) Amt,Paid (Brk+SNB)  Amt,SSO (Brk+SNB) Amt,Free Snack Amt,Rdc Snack Amt,Paid Snack Amt,SSO Snack Amt,Special Milk Amt,FFVP Amt,SubTotal,Liquor Tax,Total Reimbursement,Jul SFSP Rate,Aug SFSP Rate,Sep SFSP Rate,Oct SFSP Rate,Nov SFSP Rate,Dec SFSP Rate,Jan SFSP Rate,Feb SFSP Rate,Mar SFSP Rate,Apr SFSP Rate,May SFSP Rate,Jun SFSP Rate,
ADVANTAGE ARTS ACADEMY,1M,8/1/2021,Paid,4.3175,2.4625,65,16,351,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,193,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3095,0,809,0,0,0,0.00,0.00,0.00,13362.66,0.00,0.00,0.00,1992.16,0.00,0.00,0.00,0.00,0.00,0.00,15354.82,2630.75,17985.57,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
ADVANTAGE ARTS ACADEMY,1M,9/1/2021,Paid,4.3175,2.4625,63,16,297,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,207,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142,0,1231,0,0,0,0.00,0.00,0.00,17883.09,0.00,0.00,0.00,3031.34,0.00,0.00,0.00,0.00,0.00,0.00,20914.43,3520.70,24435.13,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
ADVANTAGE ARTS ACADEMY,1M,10/1/2021,Paid,4.3175,2.4625,61,9,287,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,199,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3188,0,923,0,0,0,0.00,0.00,0.00,13764.19,0.00,0.00,0.00,2272.89,0.00,0.00,0.00,0.00,0.00,0.00,16037.08,2709.80,18746.88,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
ADVANTAGE ARTS ACADEMY,1M,11/1/2021,Paid,4.3175,2.4625,62,9,285,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,187,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175,0,965,0,0,0,0.00,0.00,0.00,13708.06,0.00,0.00,0.00,2376.31,0.00,0.00,0.00,0.00,0.00,0.00,16084.37,2698.75,18783.12,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
ADVANTAGE ARTS ACADEMY,1M,12/1/2021,Paid,4.3175,2.4625,64,10,287,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,199,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2584,0,619,0,0,0,0.00,0.00,0.00,11156.42,0.00,0.00,0.00,1524.29,0.00,0.00,0.00,0.00,0.00,0.00,12680.71,2196.40,14877.11,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
ADVANTAGE ARTS ACADEMY,1M,1/1/2022,Paid,4.5625,2.6050,65,10,285,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,190,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3423,0,785,0,0,0,0.00,0.00,0.00,15617.44,0.00,0.00,0.00,2044.93,0.00,0.00,0.00,0.00,0.00,0.00,17662.37,2738.40,20400.77,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
ADVANTAGE ARTS ACADEMY,1M,2/1/2022,Paid,4.5625,2.6050,66,9,290,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,189,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3587,0,818,0,0,0,0.00,0.00,0.00,16365.69,0.00,0.00,0.00,2130.89,0.00,0.00,0.00,0.00,0.00,0.00,18496.58,3048.95,21545.53,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
ADVANTAGE ARTS ACADEMY,1M,3/1/2022,Paid,4.5625,2.6050,67,6,291,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,190,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4375,0,1060,0,0,0,0.00,0.00,0.00,19960.94,0.00,0.00,0.00,2761.30,0.00,0.00,0.00,0.00,0.00,0.00,22722.24,3500.00,26222.24,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
ADVANTAGE ARTS ACADEMY,1M,4/1/2022,Paid,4.5625,2.6050,64,6,289,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,194,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3108,0,731,0,0,0,0.00,0.00,0.00,14180.25,0.00,0.00,0.00,1904.26,0.00,0.00,0.00,0.00,0.00,0.00,16084.51,2486.40,18570.91,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
ADVANTAGE ARTS ACADEMY,1M,5/1/2022,Paid,4.5625,2.6050,64,6,283,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,198,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3760,0,902,0,0,0,0.00,0.00,0.00,17155.00,0.00,0.00,0.00,2349.71,0.00,0.00,0.00,0.00,0.00,0.00,19504.71,3008.00,22512.71,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
