Sponsor Name,Sponsor Number,Site Name,Site Number,SiteId,Claim Date,Claim Status,Site Classification,Site Type,Brk Type,Free Eligible Students,Rdc Eligible Students,Paid Eligible Students,Total Eligible Students,Total Milk Enrollment,Afterschool Snack Participation,ASP Jul,ASP Aug,ASP Sep,ASP Oct,ASP Nov,ASP Dec,ASP Jan,ASP Feb,ASP Mar,ASP Apr,ASP May,ASP Jun,SSO Snk Participation,Lunch Operating Days,ADP Lunch,Breakfast Operating Days,ADP SNB,ADP Brk,Snack Operating Days,ADP Low Snack,ADP High Snack,SSO Operating Days,ADP SSO Lunch,ADP SSO SNB,ADP SSO Brk,ADP SSO Snk,Milk Operating Days,ADP Milk,Free Lunches,Rdc Lunches,Paid Lunches,Total Lunches (No SSO),Free Breakfasts,Rdc Breakfasts,Paid Breakfasts,Total Brk (No SSO),Free Snack,Rdc Snack,Paid Snack,Total Snacks (No SSO),SSO Lunches,SSO Breakfasts,SSO Snack,Special Milk,Free Lunch Amt,Rdc Lunch Amt,Paid Lunch Amt,SSO Lunch Amt,Free Breakfast Amt,Rdc Breakfast Amt,Paid Breakfast Amt,SSO Breakfast Amt,Free Snack Amt,Rdc Snack Amt,Paid Snack Amt,SSO Snack Amt,Special Milk Amt,FFVP Amt,SubTotal,SSO Liquor Tax,NSLP Liquor Tax,Total Liquor Tax,Total Reimbursement,
ADVANTAGE ARTS ACADEMY,1M,ADVANTAGE ARTS ACADEMY, 1M-100,6347,8/1/2021,Paid,Charter School,Public,,65,16,351,432,0,Not Participating,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,16,193,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3095,809,0,0,0.0000,0.0000,0.0000,13362.6625,0.0000,0.0000,0.0000,1992.1625,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,15354.8250,2630.7500,0.0000,2630.7500,17985.5750,
ADVANTAGE ARTS ACADEMY,1M,ADVANTAGE ARTS ACADEMY, 1M-100,6347,9/1/2021,Paid,Charter School,Public,,63,16,297,376,0,Not Participating,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,20,207,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142,1231,0,0,0.0000,0.0000,0.0000,17883.0850,0.0000,0.0000,0.0000,3031.3375,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,20914.4225,3520.7000,0.0000,3520.7000,24435.1225,
ADVANTAGE ARTS ACADEMY,1M,ADVANTAGE ARTS ACADEMY, 1M-100,6347,10/1/2021,Paid,Charter School,Public,,61,9,287,357,0,Not Participating,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,16,199,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3188,923,0,0,0.0000,0.0000,0.0000,13764.1900,0.0000,0.0000,0.0000,2272.8875,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,16037.0775,2709.8000,0.0000,2709.8000,18746.8775,
ADVANTAGE ARTS ACADEMY,1M,ADVANTAGE ARTS ACADEMY, 1M-100,6347,11/1/2021,Paid,Charter School,Public,,62,9,285,356,0,Not Participating,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,17,187,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175,965,0,0,0.0000,0.0000,0.0000,13708.0625,0.0000,0.0000,0.0000,2376.3125,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,16084.3750,2698.7500,0.0000,2698.7500,18783.1250,
ADVANTAGE ARTS ACADEMY,1M,ADVANTAGE ARTS ACADEMY, 1M-100,6347,12/1/2021,Paid,Charter School,Public,,64,10,287,361,0,Not Participating,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,13,199,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2584,619,0,0,0.0000,0.0000,0.0000,11156.4200,0.0000,0.0000,0.0000,1524.2875,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,12680.7075,2196.4000,0.0000,2196.4000,14877.1075,
ADVANTAGE ARTS ACADEMY,1M,ADVANTAGE ARTS ACADEMY, 1M-100,6347,1/1/2022,Paid,Charter School,Public,,65,10,285,360,0,Not Participating,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,18,190,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3423,785,0,0,0.0000,0.0000,0.0000,15617.4375,0.0000,0.0000,0.0000,2044.9250,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,17662.3625,2738.4000,0.0000,2738.4000,20400.7625,
ADVANTAGE ARTS ACADEMY,1M,ADVANTAGE ARTS ACADEMY, 1M-100,6347,2/1/2022,Paid,Charter School,Public,,66,9,290,365,0,Not Participating,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,19,189,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3587,818,0,0,0.0000,0.0000,0.0000,16365.6875,0.0000,0.0000,0.0000,2130.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,18496.5775,3048.9500,0.0000,3048.9500,21545.5275,
ADVANTAGE ARTS ACADEMY,1M,ADVANTAGE ARTS ACADEMY, 1M-100,6347,3/1/2022,Paid,Charter School,Public,,67,6,291,364,0,Not Participating,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,23,190,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4375,1060,0,0,0.0000,0.0000,0.0000,19960.9375,0.0000,0.0000,0.0000,2761.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,22722.2375,3500.0000,0.0000,3500.0000,26222.2375,
ADVANTAGE ARTS ACADEMY,1M,ADVANTAGE ARTS ACADEMY, 1M-100,6347,4/1/2022,Paid,Charter School,Public,,64,6,289,359,0,Not Participating,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,16,194,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3108,731,0,0,0.0000,0.0000,0.0000,14180.2500,0.0000,0.0000,0.0000,1904.2550,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,16084.5050,2486.4000,0.0000,2486.4000,18570.9050,
ADVANTAGE ARTS ACADEMY,1M,ADVANTAGE ARTS ACADEMY, 1M-100,6347,5/1/2022,Paid,Charter School,Public,,64,6,283,353,0,Not Participating,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,19,198,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3760,902,0,0,0.0000,0.0000,0.0000,17155.0000,0.0000,0.0000,0.0000,2349.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,19504.7100,3008.0000,0.0000,3008.0000,22512.7100,
